"id","title","description","startDate","endDate","ticketPrice","categories","authorId","createdAt","updatedAt"
11,"Code Your First Game: Intro to Game Design for Beginners","Unlock the world of game design! Code your first game in this beginner-friendly workshop. No prior coding experience necessary, just bring your creativity!","2024-06-09T14:45:00.000Z","2024-06-09T21:45:00.000Z",588,"[2,15,9,8,4,17,11]",25,"2024-01-01T22:45:00.000Z","2024-01-01T22:45:00.000Z"
12,"The Science of Baking: Explore the Chemistry Behind Your Favorite Treats","Delve into the science behind baking and discover the chemistry that makes your favorite treats irresistible. A sweet journey awaits!","2024-06-14T16:15:00.000Z","2024-06-14T21:15:00.000Z",341,"[6,20,14,3]",7,"2024-01-04T09:30:00.000Z","2024-01-04T09:30:00.000Z"
13,"Yoga in the Park: Find Your Zen Under the Open Sky","Find your zen outdoors with yoga in the park. Connect with nature and rejuvenate your mind and body under the open sky.","2024-06-18T14:30:00.000Z","2024-06-18T21:30:00.000Z",710,"[12,5,18,2,9,15]",28,"2024-01-07T23:55:00.000Z","2024-01-07T23:55:00.000Z"
14,"Film Noir Night: Classic Films and Cocktails","Transport yourself to the film noir era with a night of classic films and cocktails. Immerse yourself in the intrigue and mystery of this cinematic genre.","2024-06-23T15:45:00.000Z","2024-06-23T21:45:00.000Z",496,"[1,10,6,14,11,8]",16,"2024-01-10T15:35:00.000Z","2024-01-10T15:35:00.000Z"
15,"The Power of Negotiation: Master the Art of the Deal","Master the art of negotiation in this powerful workshop. Learn effective strategies to navigate deals and communicate persuasively.","2024-06-27T16:30:00.000Z","2024-06-27T21:30:00.000Z",231,"[3,16,2,13,7]",7,"2024-01-13T04:00:00.000Z","2024-01-13T04:00:00.000Z"       
16,"From Pixels to Print: Introduction to 3D Printing","Explore the world of 3D printing, from pixels on a screen to tangible objects. Join us for an introduction to this fascinating technology.","2024-07-02T14:00:00.000Z","2024-07-02T21:00:00.000Z",632,"[18,5,19,9]",11,"2024-01-16T11:25:00.000Z","2024-01-16T11:25:00.000Z"    
17,"Build Your Own Terrarium: A Miniature World in a Glass Jar","Create your own miniature world in a glass jar with our terrarium-building workshop. Bring a touch of nature to your living space!","2024-07-06T15:30:00.000Z","2024-07-06T21:30:00.000Z",922,"[1,15,6,8,4,17]",6,"2024-01-19T02:15:00.000Z","2024-01-19T02:15:00.000Z"
18,"The Magic of Origami: Learn the Art of Paper Folding","Unfold the magic of origami as you learn the art of paper folding. Create intricate designs and unleash your creativity.","2024-07-11T14:45:00.000Z","2024-07-11T21:45:00.000Z",368,"[11,3,14,7,20]",27,"2024-01-22T17:50:00.000Z","2024-01-22T17:50:00.000Z"
19,"Explore Your Family History: Genealogy Workshop","Dive into your family history with our genealogy workshop. Explore your roots and discover the stories that shaped your past.","2024-07-15T16:15:00.000Z","2024-07-15T21:15:00.000Z",580,"[12,8,4,19,3,18,2,14]",4,"2024-01-25T08:05:00.000Z","2024-01-25T08:05:00.000Z"
20,"Beyond the Basics: Mastering Smartphone Photography","Take your smartphone photography to the next level! Join us for a workshop on mastering the art of capturing moments with your mobile device.","2024-07-20T14:30:00.000Z","2024-07-20T21:30:00.000Z",725,"[1,15,9,7,5,17,12,4,6]",30,"2024-01-28T14:50:00.000Z","2024-01-28T14:50:00.000Z"
21,"The Power of Public Speaking: Find Your Voice and Captivate Your Audience","Command the stage with the power of public speaking. Find your voice, captivate your audience, and become a confident and effective communicator.","2024-07-24T15:45:00.000Z","2024-07-24T21:45:00.000Z",119,"[6,20,4,13,8,10]",19,"2024-01-02T12:30:00.000Z","2024-01-02T12:30:00.000Z"
22,"The Art of Bonsai: Cultivating Miniature Trees","Cultivate miniature trees with our bonsai workshop. Learn the art of shaping and maintaining these beautiful and unique creations.","2024-07-29T16:30:00.000Z","2024-07-29T21:30:00.000Z",888,"[11,1,6,15,4,19,13]",1,"2024-01-05T08:45:00.000Z","2024-01-05T08:45:00.000Z"        
23,"Brush with Mindfulness: Beginner's Guide to Watercolor Painting","Embark on a mindful journey into watercolor painting. Our beginner's guide will help you tap into creativity while promoting mindfulness.","2024-08-02T14:00:00.000Z","2024-08-02T21:00:00.000Z",302,"[3,16,14,7,18]",23,"2024-01-08T18:15:00.000Z","2024-01-08T18:15:00.000Z"
24,"Documentary Film Screening: Exploring Social Issues Through Film","Join us for a thought-provoking documentary film screening. Explore social issues through the lens of impactful and engaging films.","2024-08-07T15:30:00.000Z","2024-08-07T21:30:00.000Z",582,"[18,5,2,11,9,16]",5,"2024-01-11T14:20:00.000Z","2024-01-11T14:20:00.000Z"
25,"Create Your Own Comic Book: Unleash Your Inner Storyteller","Unleash your inner storyteller in our comic book creation workshop. Craft characters and narratives to bring your comic book to life.","2024-08-11T14:45:00.000Z","2024-08-11T21:45:00.000Z",444,"[1,10,6,14,9,8,3,15]",10,"2024-01-14T10:50:00.000Z","2024-01-14T10:50:00.000Z"
26,"Fermentation Fundamentals: Learn to Make Sauerkraut and Kimchi","Dive into the world of fermentation with our fundamentals workshop. Learn to make sauerkraut and kimchi for a flavorful and healthy culinary experience.","2024-08-16T16:15:00.000Z","2024-08-16T21:15:00.000Z",938,"[16,12,5,19,7,1,11]",15,"2024-01-17T21:05:00.000Z","2024-01-17T21:05:00.000Z"
27,"Build a Better Budget: Personal Finance Workshop","Build a solid financial foundation with our personal finance workshop. Discover budgeting strategies and tips for financial success.","2024-08-20T14:30:00.000Z","2024-08-20T21:30:00.000Z",160,"[3,8,14,6,20,17]",27,"2024-01-20T16:40:00.000Z","2024-01-20T16:40:00.000Z"      
28,"Coding for Kids: Introduction to Scratch Programming","Introduce kids to the world of coding with our Scratch programming workshop. Foster creativity and critical thinking in a fun and interactive environment.","2024-08-25T15:45:00.000Z","2024-08-25T21:45:00.000Z",731,"[4,11,7,13,1,19,10]",21,"2024-01-23T07:25:00.000Z","2024-01-23T07:25:00.000Z"
29,"The World of Cryptocurrency: Understanding Blockchain Technology","Unlock the secrets of cryptocurrency and understand blockchain technology. Join us for an informative session on the world of digital currency.","2024-08-29T16:30:00.000Z","2024-08-29T21:30:00.000Z",553,"[2,15,9,8,4,17,11,16]",3,"2024-01-26T19:55:00.000Z","2024-01-26T19:55:00.000Z"
30,"From Seed to Sprout: Learn to Grow Your Own Vegetables","Learn the art of growing your own vegetables, from seed to sprout. Get hands-on experience in sustainable gardening.","2024-09-03T14:00:00.000Z","2024-09-03T21:00:00.000Z",176,"[6,20,14,3,12]",26,"2024-01-29T13:10:00.000Z","2024-01-29T13:10:00.000Z"
31,"The History of Coffee: From Bean to Cup","Discover the fascinating history of coffee, from bean to cup. Join us for an exploration of coffee origins, brewing methods, and tasting.","2024-09-07T15:30:00.000Z","2024-09-07T21:30:00.000Z",405,"[12,5,18,2,9,15,13]",13,"2024-01-01T22:45:00.000Z","2024-01-01T22:45:00.000Z"       
32,"DIY Natural Beauty Products: Make Your Own Skincare and Cosmetics","Make your own skincare and cosmetics with our DIY natural beauty products workshop. Embrace a chemical-free approach to personal care.","2024-09-12T14:45:00.000Z","2024-09-12T21:45:00.000Z",748,"[1,10,6,14,11,8,18]",1,"2024-01-04T09:30:00.000Z","2024-01-04T09:30:00.000Z"
33,"Explore the Night Sky: Astronomy Lecture with Live Telescope Viewing","Stargaze with us in this astronomy lecture. Explore the night sky and witness celestial wonders through live telescope viewing.","2024-09-16T16:15:00.000Z","2024-09-16T21:15:00.000Z",120,"[3,16,2,13,7,9]",24,"2024-01-07T23:55:00.000Z","2024-01-07T23:55:00.000Z"
34,"The Art of Storytelling: Captivate Your Audience with Powerful Narratives","Captivate your audience with the art of storytelling. Join our workshop to enhance your narrative skills and engage listeners with powerful stories.","2024-09-21T14:30:00.000Z","2024-09-21T21:30:00.000Z",352,"[18,5,19,9,15]",26,"2024-01-10T15:35:00.000Z","2024-01-10T15:35:00.000Z"
35,"From Pixels to Prints: Exploring Digital Photography","Explore the world of digital photography, from pixels to prints. Learn the basics and techniques to capture stunning digital images.","2024-09-25T15:45:00.000Z","2024-09-25T21:45:00.000Z",281,"[1,15,6,8,4,17,16]",3,"2024-01-13T04:00:00.000Z","2024-01-13T04:00:00.000Z" 
36,"The Science of Sleep: Improve Your Sleep Habits and Wake Up Feeling Refreshed","Discover the science of sleep and improve your sleep habits. Learn practical tips for a restful night and wake up feeling refreshed.","2024-09-30T16:30:00.000Z","2024-09-30T21:30:00.000Z",634,"[11,3,14,7,20,12]",28,"2024-01-16T11:25:00.000Z","2024-01-16T11:25:00.000Z"
37,"Learn to Play Ukulele: Easy Beginner Friendly Workshop","Embrace the soothing sounds of the ukulele in our easy beginner-friendly workshop. No musical experience required – just bring your curiosity!","2024-10-05T14:00:00.000Z","2024-10-05T21:00:00.000Z",759,"[12,8,4,19,3,18,2,14,9]",23,"2024-01-19T02:15:00.000Z","2024-01-19T02:15:00.000Z"
38,"The Art of Calligraphy: Discover the Beauty of Handwriting","Delve into the art of calligraphy and discover the beauty of handwriting. Join us for an elegant and meditative exploration of this timeless craft.","2024-10-09T15:30:00.000Z","2024-10-09T21:30:00.000Z",486,"[1,15,9,7,5,17,12,4,6,14]",17,"2024-01-22T17:50:00.000Z","2024-01-22T17:50:00.000Z"
39,"Upcycle Your Furniture: Give Old Pieces a New Life","Revitalize old furniture with our upcycling workshop. Learn techniques to give new life to worn-out pieces and add a touch of creativity to your home.","2024-10-14T14:45:00.000Z","2024-10-14T21:45:00.000Z",161,"[6,20,4,13,8,10,11]",8,"2024-01-25T08:05:00.000Z","2024-01-25T08:05:00.000Z"
40,"Behind the Scenes: Tour a Local Brewery or Winery","Go behind the scenes with a tour of a local brewery or winery. Discover the craftsmanship and processes that go into creating your favorite beverages.","2024-10-18T16:15:00.000Z","2024-10-18T21:15:00.000Z",759,"[11,1,6,15,4,19,13,17]",14,"2024-01-28T14:50:00.000Z","2024-01-28T14:50:00.000Z"
41,"The History of Rock and Roll: From Elvis to Nirvana","Travel through the history of rock and roll, from Elvis to Nirvana. Immerse yourself in the evolution of this influential genre and its cultural impact.","2024-10-23T14:30:00.000Z","2024-10-23T21:30:00.000Z",425,"[3,16,14,7,18,2]",13,"2024-01-02T12:30:00.000Z","2024-01-02T12:30:00.000Z"
42,"The Power of Meditation: Techniques for Stress Reduction and Mindfulness","Find inner peace with our meditation workshop. Explore techniques for stress reduction and mindfulness in a tranquil and supportive environment.","2024-10-27T15:45:00.000Z","2024-10-27T22:45:00.000Z",845,"[18,5,2,11,9,16,10]",20,"2024-01-05T08:45:00.000Z","2024-01-05T08:45:00.000Z"
43,"Build a Better Resume: Workshop for Job Seekers","Shape a winning resume with our workshop for job seekers. Learn effective strategies to stand out and make a lasting impression on potential employers.","2024-11-01T16:30:00.000Z","2024-11-01T22:30:00.000Z",295,"[1,10,6,14,9,8,3,15,7]",24,"2024-01-08T18:15:00.000Z","2024-01-08T18:15:00.000Z"
44,"Learn to Code: Introduction to Python Programming","Introduce yourself to the world of coding with our Python programming workshop. Unlock the potential of this versatile and powerful programming language.","2024-11-06T14:00:00.000Z","2024-11-06T22:00:00.000Z",172,"[16,12,5,19,7,1,11,20]",14,"2024-01-11T14:20:00.000Z","2024-01-11T14:20:00.000Z"
45,"The Art of Negotiation: Master the Art of the Deal","Master the art of negotiation in this comprehensive workshop. Acquire skills to navigate various scenarios and secure successful outcomes.","2024-11-10T15:30:00.000Z","2024-11-10T22:30:00.000Z",411,"[3,8,14,6,20,17,13]",12,"2024-01-14T10:50:00.000Z","2024-01-14T10:50:00.000Z"
46,"From Pixels to Print: Introduction to Printing","Dive into the world of printing with our introduction to printing workshop. Explore different printing techniques and create your own unique prints.","2024-11-15T14:45:00.000Z","2024-11-15T22:45:00.000Z",578,"[4,11,7,13,1,19,10,15]",22,"2024-01-17T21:05:00.000Z","2024-01-17T21:05:00.000Z"
47,"Build Your Own Terrarium: A Miniature World in a Glass Jar","Create your own miniature world in a glass jar with our terrarium-building workshop. Add a touch of nature to your living space!","2024-11-19T16:15:00.000Z","2024-11-19T22:15:00.000Z",183,"[2,15,9,8,4,17,11,16,3]",22,"2024-01-20T16:40:00.000Z","2024-01-20T16:40:00.000Z"
48,"The Magic of Origami: Learn the Art of Paper Folding","Unfold the magic of origami as you learn the art of paper folding. Create intricate designs and unleash your creativity.","2024-11-24T14:30:00.000Z","2024-11-24T22:30:00.000Z",458,"[6,20,14,3,12,18]",5,"2024-01-23T07:25:00.000Z","2024-01-23T07:25:00.000Z"
49,"Explore Your Family History: Genealogy Workshop","Dive into your family history with our genealogy workshop. Explore your roots and discover the stories that shaped your past.","2024-11-28T15:45:00.000Z","2024-11-28T22:45:00.000Z",932,"[12,5,18,2,9,15,13,1]",9,"2024-01-26T19:55:00.000Z","2024-01-26T19:55:00.000Z"
50,"Beyond the Basics: Mastering Smartphone Photography","Take your smartphone photography to the next level! Join us for a workshop on mastering the art of capturing moments with your mobile device.","2024-12-03T16:30:00.000Z","2024-12-03T22:30:00.000Z",273,"[1,10,6,14,11,8,18,7]",4,"2024-01-29T13:10:00.000Z","2024-01-29T13:10:00.000Z"
51,"The Power of Public Speaking: Find Your Voice and Captivate Your Audience","Command the stage with the power of public speaking. Find your voice, captivate your audience, and become a confident and effective communicator.","2024-12-07T14:00:00.000Z","2024-12-07T22:00:00.000Z",699,"[3,16,2,13,7,9,15]",10,"2024-01-01T22:45:00.000Z","2024-01-01T22:45:00.000Z"
52,"The Art of Bonsai: Cultivating Miniature Trees","Cultivate miniature trees with our bonsai workshop. Learn the art of shaping and maintaining these beautiful and unique creations.","2024-12-12T15:30:00.000Z","2024-12-12T22:30:00.000Z",215,"[18,5,19,9,15,14]",2,"2024-01-04T09:30:00.000Z","2024-01-04T09:30:00.000Z"
53,"Brush with Mindfulness: Beginner's Guide to Watercolor Painting","Embark on a mindful journey into watercolor painting. Our beginner's guide will help you tap into creativity while promoting mindfulness.","2024-12-16T14:45:00.000Z","2024-12-16T22:45:00.000Z",498,"[1,15,6,8,4,17,16,10]",6,"2024-01-07T23:55:00.000Z","2024-01-07T23:55:00.000Z"
54,"Documentary Film Screening: Exploring Social Issues Through Film","Join us for a thought-provoking documentary film screening. Explore social issues through the lens of impactful and engaging films.","2024-12-21T16:15:00.000Z","2024-12-21T22:15:00.000Z",526,"[11,3,14,7,20,12,9]",25,"2024-01-10T15:35:00.000Z","2024-01-10T15:35:00.000Z"
55,"Create Your Own Comic Book: Unleash Your Inner Storyteller","Unleash your inner storyteller in our comic book creation workshop. Craft characters and narratives to bring your comic book to life.","2024-12-25T14:30:00.000Z","2024-12-25T22:30:00.000Z",335,"[12,8,4,19,3,18,2,14,9,16]",19,"2024-01-13T04:00:00.000Z","2024-01-13T04:00:00.000Z"
56,"Fermentation Fundamentals: Learn to Make Sauerkraut and Kimchi","Dive into the world of fermentation with our fundamentals workshop. Learn to make sauerkraut and kimchi for a flavorful and healthy culinary experience.","2024-12-30T15:45:00.000Z","2024-12-30T22:45:00.000Z",134,"[1,15,9,7,5,17,12,4,6,14,10]",9,"2024-01-16T11:25:00.000Z","2024-01-16T11:25:00.000Z"
57,"Build a Better Budget: Personal Finance Workshop","Build a solid financial foundation with our personal finance workshop. Discover budgeting strategies and tips for financial success.","2025-01-04T16:30:00.000Z","2025-01-04T22:30:00.000Z",621,"[6,20,4,13,8,10,11,3]",18,"2024-01-19T02:15:00.000Z","2024-01-19T02:15:00.000Z" 
58,"Coding for Kids: Introduction to Scratch Programming","Introduce kids to the world of coding with our Scratch programming workshop. Foster creativity and critical thinking in a fun and interactive environment.","2025-01-04T16:30:00.000Z","2025-01-04T22:30:00.000Z",477,"[11,1,6,15,4,19,13,17,7]",30,"2024-01-22T17:50:00.000Z","2024-01-22T17:50:00.000Z"
59,"The World of Cryptocurrency: Understanding Blockchain Technology","Unlock the secrets of cryptocurrency and understand blockchain technology. Join us for an informative session on the world of digital currency.","2025-01-04T16:30:00.000Z","2025-01-04T22:30:00.000Z",379,"[3,16,14,7,18,2,12]",15,"2024-01-25T08:05:00.000Z","2024-01-25T08:05:00.000Z"
60,"From Seed to Sprout: Learn to Grow Your Own Vegetables","Learn the art of growing your own vegetables, from seed to sprout. Get hands-on experience in sustainable gardening.","2025-01-04T16:30:00.000Z","2025-01-04T22:30:00.000Z",921,"[18,5,2,11,9,16,10,15]",17,"2024-01-28T14:50:00.000Z","2024-01-28T14:50:00.000Z"
61,"The History of Coffee: From Bean to Cup","Discover the fascinating history of coffee, from bean to cup. Join us for an exploration of coffee origins, brewing methods, and tasting.","2025-01-04T16:30:00.000Z","2025-01-04T22:30:00.000Z",594,"[1,10,6,14,9,8,3,15,7,19]",11,"2024-01-16T11:25:00.000Z","2024-01-16T11:25:00.000Z" 
62,"DIY Natural Beauty Products: Make Your Own Skincare and Cosmetics","Make your own skincare and cosmetics with our DIY natural beauty products workshop. Embrace a chemical-free approach to personal care.","2025-01-04T16:30:00.000Z","2025-01-04T22:30:00.000Z",264,"[16,12,5,19,7,1,11,20,14]",8,"2024-01-19T02:15:00.000Z","2024-01-19T02:15:00.000Z"
63,"Explore the Night Sky: Astronomy Lecture with Live Telescope Viewing","Stargaze with us in this astronomy lecture. Explore the night sky and witness celestial wonders through live telescope viewing.","2025-01-04T16:30:00.000Z","2025-01-04T22:30:00.000Z",394,"[3,8,14,6,20,17,13,5]",12,"2024-01-22T17:50:00.000Z","2024-01-22T17:50:00.000Z"
64,"The Art of Storytelling: Captivate Your Audience with Powerful Narratives","Captivate your audience with the art of storytelling. Join our workshop to enhance your narrative skills and engage listeners with powerful stories.","2025-01-04T16:30:00.000Z","2025-01-04T22:30:00.000Z",347,"[4,11,7,13,1,19,10,15,9]",29,"2024-01-25T08:05:00.000Z","2024-01-25T08:05:00.000Z"
65,"From Pixels to Prints: Exploring Digital Photography","Explore the world of digital photography, from pixels to prints. Learn the basics and techniques to capture stunning digital images.","2025-01-04T16:30:00.000Z","2025-01-04T22:30:00.000Z",268,"[2,15,9,8,4,17,11,16,3,13]",1,"2024-01-28T14:50:00.000Z","2024-01-28T14:50:00.000Z"
